id,titulo,anio,estado_juego,vinculo_preliminar,fuente,url,nota,estado_triage,ficha_id,origen,origen_ref,fecha_estado,motivo_decision,eje_sugerido,ejes_culturales_sugeridos,notas_triage
desktop-mate-needy-streamer-overload-ame-chan-dlc,Desktop Mate NEEDY STREAMER OVERLOAD Ame-chan DLC,,publicado,escenario,https://store.steampowered.com/app/3941620/,https://store.steampowered.com/app/3941620/,Candidato Steam app 3941620.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-needy-streamer-overload-omgkawaiiangel-dlc,Desktop Mate NEEDY STREAMER OVERLOAD OMGkawaiiAngel DLC,,publicado,escenario,https://store.steampowered.com/app/3941610/,https://store.steampowered.com/app/3941610/,Candidato Steam app 3941610.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-otomachi-una-dlc,Desktop Mate Otomachi Una DLC,,publicado,escenario,https://store.steampowered.com/app/4640380/,https://store.steampowered.com/app/4640380/,Candidato Steam app 4640380.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-pochacco-dlc,Desktop Mate POCHACCO DLC,,publicado,escenario,https://store.steampowered.com/app/4145050/,https://store.steampowered.com/app/4145050/,Candidato Steam app 4145050.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-pompompurin-dlc,Desktop Mate POMPOMPURIN DLC,,publicado,escenario,https://store.steampowered.com/app/4145030/,https://store.steampowered.com/app/4145030/,Candidato Steam app 4145030.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-snow-miku-2026-ver-dlc,Desktop Mate SNOW MIKU 2026 Ver. DLC,,publicado,escenario,https://store.steampowered.com/app/4018720/,https://store.steampowered.com/app/4018720/,Candidato Steam app 4018720.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-snow-miku-jr-tower-ver-dlc,Desktop Mate SNOW MIKU JR Tower Ver. DLC,,publicado,escenario,https://store.steampowered.com/app/4145020/,https://store.steampowered.com/app/4145020/,Candidato Steam app 4145020.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-touhou-project-hakurei-reimu-dlc,Desktop Mate Touhou Project Hakurei Reimu DLC,,publicado,escenario,https://store.steampowered.com/app/4018660/,https://store.steampowered.com/app/4018660/,Candidato Steam app 4018660.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-touhou-project-kirisame-marisa-dlc,Desktop Mate Touhou Project Kirisame Marisa DLC,,publicado,escenario,https://store.steampowered.com/app/4018670/,https://store.steampowered.com/app/4018670/,Candidato Steam app 4018670.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-touhou-project-yukkuri-marisa-dlc,Desktop Mate Touhou Project Yukkuri Marisa DLC,,publicado,escenario,https://store.steampowered.com/app/4270570/,https://store.steampowered.com/app/4270570/,Candidato Steam app 4270570.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-touhou-project-yukkuri-reimu-dlc,Desktop Mate Touhou Project Yukkuri Reimu DLC,,publicado,escenario,https://store.steampowered.com/app/4161240/,https://store.steampowered.com/app/4161240/,Candidato Steam app 4161240.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-work-cat-dlc,Desktop Mate Work Cat DLC,,publicado,escenario,https://store.steampowered.com/app/4145010/,https://store.steampowered.com/app/4145010/,Candidato Steam app 4145010.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
desktop-mate-yuzuki-yukari-dlc,Desktop Mate Yuzuki Yukari DLC,,publicado,escenario,https://store.steampowered.com/app/3941640/,https://store.steampowered.com/app/3941640/,Candidato Steam app 3941640.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: mate,escenario,,steam auto-descartado; terminos: mate
